img,type
ImageCollection_0000079197_2021-01-28_18_07_18.scn_-_Series_1_Region13_tile24.png,Skin
2021-07-12_16.28.47_Region5_tile5.png,Skin
2021-07-14_19.58.43_Region3_tile78.png,Skin
2021-05-07_21.28.14_Region1_tile26.png,Skin
2021-07-14_19.29.44_Region3_tile3.png,Skin
2021-07-12_17.01.28_Region11_tile2.png,Skin
2021-05-07_21.28.14_Region1_tile3.png,Skin
2021-07-12_17.01.28_Region12_tile18.png,Skin
2021-07-14_19.29.44_Region1_tile19.png,Skin
2021-05-07_18.22.27_Region1_tile72.png,Skin
2021-07-12_17.01.28_Region10_tile5.png,Skin
2021-07-12_17.01.28_Region8_tile11.png,Skin
2021-07-14_19.29.44_Region3_tile23.png,Skin
2021-05-07_18.22.27_Region6_tile16.png,Skin
2021-07-12_17.01.28_Region10_tile2.png,Skin
2021-07-14_19.58.43_Region3_tile4.png,Skin
2021-07-14_19.58.43_Region1_tile12.png,Skin
2021-07-14_20.02.54_Region1_tile43.png,Skin
2021-07-14_19.58.43_Region3_tile3.png,Skin
2021-07-14_19.58.43_Region3_tile85.png,Skin
2021-05-07_18.22.27_Region6_tile46.png,Skin
2021-07-14_19.58.43_Region2_tile4.png,Skin
2021-05-07_18.03.28_Region4_tile13.png,Skin
2021-07-12_16.28.47_Region8_tile2.png,Skin
2021-07-12_16.28.47_Region31_tile10.png,Skin
2021-07-14_20.02.54_Region6_tile6.png,Skin
2021-07-12_17.01.28_Region2_tile30.png,Skin
2021-05-07_18.22.27_Region1_tile17.png,Skin
2021-05-07_20.27.28_Region1_tile8.png,Skin
2021-07-14_19.58.43_Region3_tile13.png,Skin
2021-05-07_19.22.18_Region4_tile2.png,Skin
2021-07-14_20.02.54_Region3_tile39.png,Skin
2021-07-14_20.02.54_Region3_tile37.png,Skin
2021-07-14_19.58.43_Region3_tile66.png,Skin
2021-07-14_20.02.54_Region3_tile30.png,Skin
ImageCollection_0000079249_2021-01-29_18_20_28.scn_-_Series_1_Region5_tile1.png,Skin
2021-05-07_20.27.28_Region1_tile1.png,Skin
2021-07-14_20.02.54_Region3_tile21.png,Skin
2021-07-12_17.01.28_Region8_tile10.png,Skin
2021-07-14_19.44.36_Region3_tile44.png,Skin
2021-07-14_20.01.02_Region23_tile1.png,Skin
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region12_tile2.png,Skin
2021-05-07_19.22.18_Region2_tile5.png,Skin
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region9_tile2.png,Skin
2021-07-14_20.02.54_Region4_tile37.png,Skin
2021-07-14_20.02.54_Region1_tile15.png,Skin
2021-07-14_19.58.43_Region1_tile44.png,Skin
2021-05-07_21.28.14_Region1_tile5.png,Skin
2021-07-14_20.02.54_Region4_tile30.png,Skin
2021-07-14_19.58.43_Region5_tile10.png,Skin
ImageCollection_0000079197_2021-01-28_18_07_18.scn_-_Series_1_Region13_tile10.png,Skin
2021-07-14_20.01.02_Region23_tile8.png,Skin
2021-07-12_17.01.28_Region8_tile57.png,Skin
2021-07-14_19.58.43_Region5_tile3.png,Skin
2021-05-07_21.28.14_Region8_tile4.png,Skin
2021-07-14_19.29.44_Region2_tile14.png,Skin
2021-05-07_18.22.27_Region1_tile34.png,Skin
H2019001505S2-10-2_2021-01-28_18_22_59.scn_-_Series_1_Region7_tile1.png,Skin
2021-07-14_20.02.54_Region1_tile20.png,Skin
2021-07-14_19.44.36_Region6_tile9.png,Skin
2021-07-14_19.58.43_Region3_tile45.png,Skin
2021-07-14_20.02.54_Region1_tile29.png,Skin
2021-05-07_18.03.28_Region5_tile1.png,Skin
2021-07-12_16.28.47_Region10_tile6.png,Skin
2021-07-12_17.01.28_Region8_tile68.png,Skin
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region3_tile3.png,Skin
2021-07-14_19.58.43_Region4_tile10.png,Skin
2021-07-14_20.01.02_Region23_tile5.png,Skin
2021-07-14_20.01.02_Region32_tile6.png,Skin
2021-07-14_19.58.43_Region1_tile47.png,Skin
2021-07-14_19.58.43_Region2_tile70.png,Skin
2021-07-12_16.28.47_Region18_tile4.png,Skin
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region12_tile8.png,Skin
2021-05-07_18.22.27_Region6_tile66.png,Skin
2021-07-14_20.02.54_Region1_tile16.png,Skin
2021-07-14_19.58.43_Region5_tile7.png,Skin
2021-07-14_19.58.43_Region2_tile42.png,Skin
2021-07-14_19.29.44_Region1_tile20.png,Skin
2021-07-14_19.58.43_Region2_tile39.png,Skin
2021-07-14_19.44.36_Region6_tile3.png,Skin
2021-07-14_19.58.43_Region4_tile22.png,Skin
2021-07-14_20.02.54_Region1_tile56.png,Skin
2021-05-07_18.03.28_Region3_tile17.png,Skin
2021-05-07_21.28.14_Region1_tile18.png,Skin
2021-05-07_18.22.27_Region1_tile45.png,Skin
2021-07-14_19.58.43_Region4_tile48.png,Skin
2021-07-12_17.01.28_Region8_tile37.png,Skin
2021-05-07_18.03.28_Region5_tile13.png,Skin
2021-07-12_16.28.47_Region17_tile5.png,Skin
2021-05-07_18.03.28_Region3_tile5.png,Skin
2021-07-14_20.02.54_Region1_tile49.png,Skin
2021-05-07_20.27.28_Region1_tile21.png,Skin
2021-07-14_19.58.43_Region5_tile30.png,Skin
2021-07-14_19.58.43_Region1_tile18.png,Skin
2021-07-12_17.01.28_Region4_tile14.png,Skin
2021-07-12_16.28.47_Region8_tile1.png,Skin
2021-07-12_17.01.28_Region2_tile48.png,Skin
2021-07-14_19.58.43_Region2_tile66.png,Skin
2021-07-14_19.58.43_Region3_tile10.png,Skin
2021-05-07_18.22.27_Region6_tile4.png,Skin
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region14_tile1.png,Skin
2021-05-07_21.28.14_Region1_tile35.png,Skin
2021-07-14_19.58.43_Region1_tile7.png,Skin
2021-07-12_16.28.47_Region14_tile2.png,Skin
2021-07-14_19.44.36_Region4_tile35.png,Skin
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region3_tile16.png,Skin
2021-07-12_16.28.47_Region14_tile5.png,Skin
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region3_tile11.png,Skin
2021-05-07_18.22.27_Region1_tile61.png,Skin
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region14_tile8.png,Skin
2021-07-12_16.28.47_Region10_tile3.png,Skin
2021-07-14_19.44.36_Region4_tile17.png,Skin
2021-05-07_18.22.27_Region1_tile38.png,Skin
2021-05-07_18.22.27_Region3_tile5.png,Skin
2021-07-14_20.01.02_Region13_tile1.png,Skin
2021-07-14_19.58.43_Region3_tile47.png,Skin
2021-07-14_19.58.43_Region2_tile31.png,Skin
2021-05-07_18.03.28_Region5_tile3.png,Skin
ImageCollection_0000079249_2021-01-29_18_20_28.scn_-_Series_1_Region1_tile4.png,Skin
2021-07-14_19.44.36_Region4_tile10.png,Skin
2021-07-14_20.01.02_Region21_tile4.png,Skin
2021-07-12_17.01.28_Region8_tile55.png,Skin
2021-07-12_17.01.28_Region8_tile84.png,Skin
2021-07-12_16.28.47_Region5_tile6.png,Skin
2021-05-07_18.03.28_Region3_tile18.png,Skin
ImageCollection_0000079197_2021-01-28_18_07_18.scn_-_Series_1_Region13_tile20.png,Skin
2021-07-14_19.58.43_Region5_tile6.png,Skin
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region1_tile1.png,Skin
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region1_tile2.png,Skin
2021-07-14_19.29.44_Region3_tile7.png,Skin
ImageCollection_0000079197_2021-01-28_18_07_18.scn_-_Series_1_Region13_tile15.png,Skin
2021-07-14_19.29.44_Region2_tile23.png,Skin
2021-07-12_16.28.47_Region18_tile2.png,Skin
2021-05-07_18.22.27_Region3_tile42.png,Skin
2021-07-12_17.01.28_Region10_tile8.png,Skin
2021-07-14_19.44.36_Region3_tile34.png,Skin
2021-05-07_21.28.14_Region1_tile7.png,Skin
2021-07-14_19.58.43_Region5_tile12.png,Skin
2021-07-14_19.44.36_Region6_tile16.png,Skin
2021-07-14_20.01.02_Region5_tile1.png,Skin
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region12_tile9.png,Skin
2021-07-14_19.58.43_Region1_tile48.png,Skin
2021-07-12_17.01.28_Region8_tile12.png,Skin
2021-05-07_21.28.14_Region1_tile9.png,Skin
2021-07-12_17.01.28_Region11_tile8.png,Skin
2021-07-14_20.01.02_Region32_tile7.png,Skin
2021-07-14_19.58.43_Region1_tile33.png,Skin
H2018028863S2-9-2_2020-12-23_11_46_45.scn_-_Series_1_Region3_tile1.png,Skin
2021-07-12_17.01.28_Region8_tile15.png,Skin
2021-07-14_20.02.54_Region3_tile35.png,Skin
2021-05-07_19.22.18_Region4_tile9.png,Skin
2021-07-14_19.44.36_Region3_tile2.png,Skin
2021-07-12_16.28.47_Region14_tile3.png,Skin
2021-05-07_18.22.27_Region3_tile26.png,Skin
2021-07-14_19.44.36_Region4_tile34.png,Skin
2021-07-12_17.01.28_Region2_tile40.png,Skin
2021-07-14_19.44.36_Region3_tile25.png,Skin
2021-05-07_18.22.27_Region3_tile28.png,Skin
2021-05-07_20.27.28_Region1_tile15.png,Skin
2021-05-07_18.22.27_Region1_tile12.png,Skin
2021-07-12_17.01.28_Region2_tile49.png,Skin
2021-07-14_19.58.43_Region2_tile67.png,Skin
2021-07-14_19.44.36_Region3_tile22.png,Skin
2021-07-12_17.01.28_Region2_tile35.png,Skin
2021-05-07_18.22.27_Region6_tile38.png,Skin
H2018029881S1-1-2_-_2021-07-14_19.28.39_Region2_tile21.png,Skin
2021-07-14_19.44.36_Region3_tile17.png,Skin
2021-07-14_19.58.43_Region2_tile1.png,Skin
2021-07-12_16.28.47_Region35_tile2.png,Skin
2021-07-12_17.01.28_Region8_tile36.png,Skin
2021-07-14_20.01.02_Region21_tile10.png,Skin
2021-05-07_18.03.28_Region5_tile12.png,Skin
H2019004588S1-3-2_2020-12-23_11_41_31.scn_-_Series_1_Region4_tile1.png,Skin
2021-07-14_19.58.43_Region3_tile56.png,Skin
2021-07-12_17.01.28_Region8_tile31.png,Skin
